driver_trip,prob
3531_1,0.8842
3531_10,0.7906
3531_100,0.7686
3531_101,0.9618
3531_102,0.7192
3531_103,0.9644
3531_104,0.8878
3531_105,0.8826
3531_106,0.7518
3531_107,0.8866
3531_108,0.9534
3531_109,0.9636
3531_11,0.717
3531_110,0.7476
3531_111,0.6816
3531_112,0.7534
3531_113,0.9596
3531_114,0.7654
3531_115,0.8418
3531_116,0.6668
3531_117,0.919
3531_118,0.7554
3531_119,0.7316
3531_12,0.94
3531_120,0.933
3531_121,0.987
3531_122,0.6734
3531_123,0.8506
3531_124,0.9054
3531_125,0.8648
3531_126,0.8686
3531_127,0.9866
3531_128,0.7426
3531_129,0.8598
3531_13,0.733
3531_130,0.8086
3531_131,0.835
3531_132,0.8258
3531_133,0.8298
3531_134,0.8306
3531_135,0.8632
3531_136,0.8602
3531_137,0.8548
3531_138,0.9232
3531_139,0.845
3531_14,0.795
3531_140,0.9086
3531_141,0.7938
3531_142,0.6886
3531_143,0.8322
3531_144,0.721
3531_145,0.8724
3531_146,0.9824
3531_147,0.882
3531_148,0.928
3531_149,0.6722
3531_15,0.681
3531_150,0.7604
3531_151,0.0046
3531_152,0.7592
3531_153,0.8086
3531_154,0.6744
3531_155,0.8732
3531_156,0.8582
3531_157,0.8482
3531_158,0.9214
3531_159,0.756
3531_16,0.776
3531_160,0.9326
3531_161,0.8632
3531_162,0.8302
3531_163,0.7224
3531_164,0.84
3531_165,0.7112
3531_166,0.9194
3531_167,0.978
3531_168,0.8652
3531_169,0.751
3531_17,0.9418
3531_170,0.7462
3531_171,0.8336
3531_172,0.8946
3531_173,0.8044
3531_174,0.8702
3531_175,0.7278
3531_176,0.8026
3531_177,0.7934
3531_178,0.7414
3531_179,0.7184
3531_18,0.7898
3531_180,0.8806
3531_181,0.9452
3531_182,0.7342
3531_183,0.7892
3531_184,0.8488
3531_185,0.8926
3531_186,0.8514
3531_187,0.7012
3531_188,0.9076
3531_189,0.6566
3531_19,0.6852
3531_190,0.752
3531_191,0.8002
3531_192,0.7392
3531_193,0.9036
3531_194,0.6818
3531_195,0.6748
3531_196,0.8572
3531_197,0.7046
3531_198,0.6918
3531_199,0.8498
3531_2,0.86
3531_20,0.6754
3531_200,0.936
3531_21,0.946
3531_22,0.013
3531_23,0.6744
3531_24,0.977
3531_25,0.7086
3531_26,0.8824
3531_27,0.7476
3531_28,0.8688
3531_29,0.7412
3531_3,0.9464
3531_30,0.713
3531_31,0.9768
3531_32,0.67
3531_33,0.8538
3531_34,0.8362
3531_35,0.9418
3531_36,0.705
3531_37,0.9006
3531_38,0.8626
3531_39,0.8674
3531_4,0.8432
3531_40,0.8716
3531_41,0.8352
3531_42,0.856
3531_43,0.6842
3531_44,0.6902
3531_45,0.8564
3531_46,0.8512
3531_47,0.87
3531_48,0.7496
3531_49,0.77
3531_5,0.9428
3531_50,0.7854
3531_51,0.9046
3531_52,0.9354
3531_53,0.697
3531_54,0.6884
3531_55,0.7958
3531_56,0.935
3531_57,0.7902
3531_58,0.9748
3531_59,0.7404
3531_6,0.8342
3531_60,0.7402
3531_61,0.8904
3531_62,0.901
3531_63,0.0728
3531_64,0.9068
3531_65,0.0172
3531_66,0.0586
3531_67,0.7136
3531_68,0.696
3531_69,0.7718
3531_7,0.836
3531_70,0.8756
3531_71,0.735
3531_72,0.0596
3531_73,0.8148
3531_74,0.0038
3531_75,0.7496
3531_76,0.9214
3531_77,0.7486
3531_78,0.8892
3531_79,0.8768
3531_8,0.6934
3531_80,0.7018
3531_81,0.914
3531_82,0.8258
